('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      315    0.001    0.000    0.992    0.003 ssl.py:1095(read)
      315    0.992    0.003    0.992    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      315    0.001    0.000    0.995    0.003 socket.py:693(readinto)
      315    0.001    0.000    0.994    0.003 ssl.py:1237(recv_into)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      303    0.002    0.000    0.084    0.000 __init__.py:280(_compile)
      301    0.000    0.000    0.084    0.000 __init__.py:226(compile)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      273    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      261    0.000    0.000    0.000    0.000 element.py:1543(get)
      257    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      254    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      224    0.002    0.000    0.213    0.001 {method 'read' of '_io.BufferedReader' objects}
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    213/4    0.001    0.000    0.193    0.048 <frozen importlib._bootstrap>:1349(_find_and_load)
    212/4    0.001    0.000    0.192    0.048 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      212    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      210    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  208/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      198    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      196    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      196    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      192    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      192    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
