('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         680476 function calls (662099 primitive calls) in 1.716 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      856    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      136    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      912    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      314    0.000    0.000    0.953    0.003 ssl.py:1095(read)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       54    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      856    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      359    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    1.716    1.716 financial.py:1(<module>)
  163/160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      301    0.000    0.000    0.145    0.000 __init__.py:226(compile)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
      731    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       25    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
      405    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
